cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	3811	2.84514	0.5	2.6914	26.0424	0	-0.638658	-0.769491	0	3812	None
ChainingRodShaped	3809	3.05907	0.5	24.2274	25.0802	0	-0.00770701	-0.99997	0	3810	None
ChainingRodShaped	3815	3.28312	0.5	13.6191	28.3804	0	-0.841528	-0.540213	0	None	None
ChainingRodShaped	3835	2.54445	0.5	22.5188	45.1003	0	0.848933	0.5285	0	None	None
ChainingRodShaped	3803	2.76362	0.5	-25.3689	36.7291	0	-0.923849	0.382756	0	3804	None
ChainingRodShaped	3801	4.00547	0.5	35.2211	42.4009	0	-0.0409829	0.99916	0	None	None
ChainingRodShaped	3799	3.01697	0.5	-27.9893	46.6422	0	-0.541997	-0.840381	0	3800	None
ChainingRodShaped	3819	3.40781	0.5	-9.50895	43.652	0	0.999491	0.0319033	0	None	None
ChainingRodShaped	3861	2.6445	0.5	24.3758	47.5917	0	-0.943152	-0.332362	0	None	None
ChainingRodShaped	3793	3.62172	0.5	4.3543	41.6976	0	0.754743	0.656021	0	3794	None
ChainingRodShaped	3791	2.89192	0.5	-10.9895	21.4887	0	-0.366386	-0.930463	0	3792	None
ChainingRodShaped	3789	3.2927	0.5	14.1815	48.965	0	0.0546419	0.998506	0	3790	None
ChainingRodShaped	3845	2.91386	0.5	-8.83407	28.9986	0	0.490607	-0.871381	0	None	None
ChainingRodShaped	3785	3.7008	0.5	3.72158	32.6082	0	-0.474849	-0.880067	0	None	None
ChainingRodShaped	3783	3.79341	0.5	-34.5941	43.3932	0	0.871058	-0.491181	0	None	None
ChainingRodShaped	3839	2.89946	0.5	13.1689	31.0578	0	0.98551	0.169618	0	None	None
ChainingRodShaped	3779	3.08477	0.5	-0.461298	47.5695	0	0.91187	-0.410479	0	3780	None
ChainingRodShaped	3777	2.70462	0.5	-27.849	32.8438	0	0.997478	-0.0709817	0	3778	None
ChainingRodShaped	3775	3.52041	0.5	-20.3268	45.1184	0	0.257293	0.966333	0	None	None
ChainingRodShaped	3773	3.58495	0.5	30.9233	31.8742	0	0.86904	-0.494742	0	3774	None
ChainingRodShaped	3771	2.73024	0.5	-4.86513	30.3582	0	0.510477	0.859892	0	3772	None
ChainingRodShaped	3769	3.15512	0.5	-18.6725	30.9526	0	-0.731689	-0.681639	0	3770	None
ChainingRodShaped	3767	4.90412	0.5	-28.8899	42.715	0	-0.875756	0.482754	0	None	None
ChainingRodShaped	3765	3.11765	0.5	9.93567	24.9691	0	0.858948	0.512064	0	3766	None
ChainingRodShaped	3763	3.52245	0.5	-0.258377	34.3621	0	0.756437	-0.654066	0	3764	None
ChainingRodShaped	3823	2.93132	0.5	22.6809	42.9178	0	-0.934502	0.355959	0	None	None
ChainingRodShaped	3759	3.10554	0.5	41.8363	43.0183	0	0.937107	-0.349042	0	3760	None
ChainingRodShaped	3757	2.76612	0.5	22.6567	31.4416	0	-0.228392	-0.973569	0	3758	None
ChainingRodShaped	3755	3.54739	0.5	7.97033	37.2461	0	-0.56393	-0.825823	0	3756	None
ChainingRodShaped	3865	2.4215	0.5	14.3663	18.8484	0	-0.294575	-0.955628	0	None	None
ChainingRodShaped	3751	3.68057	0.5	-1.57993	20.1767	0	-0.85647	0.516197	0	None	None
ChainingRodShaped	3749	3.73778	0.5	-3.57763	40.3253	0	0.0577375	-0.998332	0	3750	None
ChainingRodShaped	3881	2.05767	0.5	5.56241	50.4274	0	-0.758877	0.651234	0	None	None
