cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	30424	3.57838	0.5	29.6427	-100.404	0	-0.744113	-0.668054	0	30425	None
ChainingRodShaped	41360	3.21008	0.5	-52.3093	-31.3556	0	0.25894	-0.965893	0	None	None
ChainingRodShaped	36834	2.95132	0.5	19.5235	11.0116	0	0.987442	0.157983	0	None	None
ChainingRodShaped	37828	3.08957	0.5	-7.22191	71.9065	0	0.959267	0.282501	0	None	None
ChainingRodShaped	27410	4.77067	0.5	53.8394	84.8821	0	0.971117	-0.238604	0	27411	None
ChainingRodShaped	44778	2.80848	0.5	11.9398	53.1608	0	0.979774	0.200105	0	None	None
ChainingRodShaped	15834	4.56973	0.5	25.3407	74.0135	0	0.995217	-0.0976887	0	29624	None
ChainingRodShaped	33148	3.61536	0.5	-0.515122	18.9566	0	-0.686606	-0.72703	0	None	None
ChainingRodShaped	45310	2.34293	0.5	39.492	68.352	0	0.827769	-0.561069	0	45311	None
ChainingRodShaped	15290	4.7553	0.5	79.3906	23.8899	0	0.75949	-0.650518	0	32512	None
ChainingRodShaped	14328	4.28464	0.5	7.67455	75.2793	0	0.989449	0.144879	0	25670	None
ChainingRodShaped	31260	4.98808	0.5	-66.6493	-10.4236	0	-0.852487	0.522748	0	None	None
ChainingRodShaped	50200	2.07938	0.5	1.99136	-98.3306	0	-0.742647	-0.669683	0	None	None
ChainingRodShaped	28536	3.81509	0.5	45.4371	95.5132	0	0.957196	-0.28944	0	None	None
ChainingRodShaped	38764	2.7063	0.5	66.8123	19.3478	0	0.988628	-0.150379	0	38765	None
ChainingRodShaped	41058	3.39978	0.5	25.0537	74.4468	0	0.994126	-0.108231	0	None	None
ChainingRodShaped	40858	3.59062	0.5	82.6131	18.7406	0	0.980253	-0.197748	0	None	None
ChainingRodShaped	18336	3.8261	0.5	140.615	83.9096	0	-0.188587	0.982056	0	33416	None
ChainingRodShaped	31212	3.29143	0.5	-89.8194	-81.4597	0	-0.829319	0.558775	0	None	None
ChainingRodShaped	32852	2.81919	0.5	-67.8499	-84.0292	0	-0.86878	-0.495199	0	32853	None
ChainingRodShaped	27442	3.67294	0.5	-141.548	-110.475	0	-0.820999	-0.57093	0	27443	None
ChainingRodShaped	29980	4.19015	0.5	-42.3825	236.432	0	-0.875881	0.482527	0	29981	None
ChainingRodShaped	25374	4.12564	0.5	42.8524	105.758	0	-0.70334	0.710854	0	25375	None
ChainingRodShaped	50478	2.04247	0.5	-73.7817	-4.62552	0	0.721542	0.69237	0	None	None
ChainingRodShaped	36338	2.55541	0.5	-19.4676	-1.02658	0	0.140606	0.990066	0	36339	None
ChainingRodShaped	43068	3.01408	0.5	-13.3866	89.2779	0	0.904093	0.427335	0	None	None
ChainingRodShaped	41584	2.54159	0.5	18.8582	78.2325	0	0.992118	0.125308	0	None	None
ChainingRodShaped	44004	2.41165	0.5	-35.0372	203.779	0	-0.845232	0.534399	0	44005	None
ChainingRodShaped	40014	2.79801	0.5	45.776	-71.0488	0	-0.67323	-0.739433	0	None	None
ChainingRodShaped	29216	3.7571	0.5	63.365	116.802	0	-0.965259	0.261296	0	None	None
ChainingRodShaped	49800	2.07645	0.5	-102.957	-94.3669	0	-0.998508	0.0546117	0	49801	None
ChainingRodShaped	46798	2.62652	0.5	143.204	62.2606	0	0.0721984	0.99739	0	None	None
ChainingRodShaped	29454	4.88082	0.5	94.1133	31.814	0	-0.257629	0.966244	0	None	None
ChainingRodShaped	40300	2.75346	0.5	125.707	-9.86122	0	-0.537457	-0.843291	0	None	None
ChainingRodShaped	44110	3.111	0.5	28.9284	-28.7211	0	0.969692	-0.24433	0	None	None
ChainingRodShaped	22736	3.58691	0.5	81.9749	23.0547	0	0.731278	-0.68208	0	22737	None
ChainingRodShaped	47392	2.45261	0.5	-3.75431	-95.3716	0	-0.68871	-0.725037	0	None	None
ChainingRodShaped	32508	3.73811	0.5	83.2319	20.5948	0	0.647966	-0.761669	0	32509	None
ChainingRodShaped	33234	3.18414	0.5	10.4152	205.254	0	-0.515505	0.856887	0	33235	None
ChainingRodShaped	26768	3.64388	0.5	-129.294	-104.32	0	-0.830639	-0.556811	0	26769	None
ChainingRodShaped	37114	3.05254	0.5	77.4107	18.2584	0	0.97413	-0.225988	0	37115	None
ChainingRodShaped	34126	3.12132	0.5	-140.77	-108.715	0	-0.822618	-0.568595	0	34127	None
ChainingRodShaped	42442	2.52769	0.5	-86.0017	37.4538	0	0.910118	0.414348	0	None	None
ChainingRodShaped	38514	3.38664	0.5	-73.4509	128.809	0	-0.766529	0.64221	0	None	None
ChainingRodShaped	26840	3.59225	0.5	-81.9592	-91.7016	0	-0.915566	-0.402169	0	26841	None
ChainingRodShaped	40506	2.81079	0.5	115.636	57.0634	0	-0.495318	-0.868712	0	None	None
ChainingRodShaped	40524	2.39983	0.5	3.99231	161.521	0	0.338668	-0.940906	0	40525	None
ChainingRodShaped	50236	2.03764	0.5	29.8914	-15.5651	0	-0.757561	-0.652764	0	50237	None
ChainingRodShaped	25452	4.87634	0.5	7.01898	-105.855	0	-0.995317	0.0966609	0	None	None
ChainingRodShaped	37678	4.03014	0.5	78.7276	-50.4635	0	-0.565516	-0.824737	0	None	None
ChainingRodShaped	28482	4.07344	0.5	-111.578	-79.5365	0	-0.00192235	-0.999998	0	28483	None
ChainingRodShaped	39170	2.90604	0.5	54.3047	85.9696	0	0.971092	-0.238704	0	None	None
ChainingRodShaped	39888	2.78738	0.5	52.5054	88.3491	0	0.970866	-0.239624	0	39889	None
ChainingRodShaped	25944	3.12367	0.5	18.2104	50.2513	0	0.989682	0.143284	0	25945	None
ChainingRodShaped	17528	4.20787	0.5	120.344	-44.9727	0	-0.669983	-0.742377	0	34408	None
ChainingRodShaped	44660	2.77027	0.5	-65.2616	10.2083	0	0.106084	0.994357	0	None	None
ChainingRodShaped	50196	2.07817	0.5	50.5929	91.7461	0	0.621103	-0.783729	0	None	None
ChainingRodShaped	29226	3.62003	0.5	-89.2791	191.247	0	0.683399	0.730045	0	29227	None
ChainingRodShaped	42084	2.57002	0.5	135.661	16.0381	0	-0.282802	-0.959178	0	42085	None
ChainingRodShaped	45360	2.88603	0.5	-7.10246	-90.1486	0	-0.442583	-0.896728	0	None	None
ChainingRodShaped	36586	2.74354	0.5	-4.63693	66.0261	0	0.924926	0.380148	0	36587	None
ChainingRodShaped	21780	3.68692	0.5	-105.617	1.5107	0	0.570444	0.821336	0	21781	30755
ChainingRodShaped	37004	2.85732	0.5	-7.15472	-97.2212	0	0.999333	-0.0365109	0	None	None
ChainingRodShaped	35828	3.56557	0.5	103.484	131.713	0	0.617491	-0.786578	0	35829	38247
ChainingRodShaped	42330	2.37531	0.5	-165.9	40.9165	0	0.324917	0.945743	0	42331	30191
ChainingRodShaped	23700	4.16887	0.5	-76.746	50.5967	0	-0.787888	-0.615819	0	None	None
ChainingRodShaped	29764	3.87457	0.5	-36.4756	39.8079	0	-0.0828161	-0.996565	0	None	None
ChainingRodShaped	42366	2.81026	0.5	116.942	125.59	0	0.626794	-0.779185	0	42367	25263
ChainingRodShaped	39034	2.82994	0.5	-27.317	-24.2208	0	0.325933	0.945393	0	39035	13843
