cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	17212	2.04553	0.5	-37.2035	41.9838	0	-0.0802182	-0.996777	0	None	None
ChainingRodShaped	16860	2.1697	0.5	2.06368	158.888	0	0.269404	0.963027	0	16861	None
ChainingRodShaped	8824	4.82149	0.5	55.2534	9.22783	0	0.0150683	-0.999886	0	None	None
ChainingRodShaped	15706	2.66013	0.5	-16.6592	100.791	0	-0.169957	0.985451	0	15707	None
ChainingRodShaped	16112	2.47937	0.5	26.4697	-26.6186	0	-0.528332	-0.849038	0	None	None
ChainingRodShaped	15346	2.87783	0.5	-16.2302	-105.396	0	0.603382	-0.797452	0	15347	None
ChainingRodShaped	15700	2.89289	0.5	-46.0589	0.351872	0	-0.337156	-0.941449	0	None	None
ChainingRodShaped	11104	3.94055	0.5	176.392	-12.565	0	0.999987	-0.00504556	0	11105	None
ChainingRodShaped	11760	4.1197	0.5	14.2262	100.132	0	-0.306387	0.951907	0	None	None
ChainingRodShaped	9812	4.28925	0.5	7.70848	-12.7612	0	-0.206251	-0.978499	0	None	None
ChainingRodShaped	12734	3.40935	0.5	65.6551	-64.6371	0	0.999942	0.010785	0	12735	None
ChainingRodShaped	12240	4.84018	0.5	58.7038	70.2923	0	0.0943576	0.995538	0	None	None
ChainingRodShaped	9048	4.83894	0.5	14.9402	208.963	0	0.34398	0.938977	0	12478	None
ChainingRodShaped	11416	4.76364	0.5	-1.66019	65.7185	0	-0.040195	0.999192	0	None	None
ChainingRodShaped	16842	2.22107	0.5	-28.0376	18.9882	0	-0.810894	0.585193	0	None	None
ChainingRodShaped	13572	4.10129	0.5	151.708	-7.0884	0	0.968166	0.25031	0	13573	None
ChainingRodShaped	11542	4.50411	0.5	136.074	-97.0169	0	0.753756	-0.657154	0	11543	None
ChainingRodShaped	8622	4.96221	0.5	19.5586	-94.7071	0	0.837816	-0.545953	0	12828	None
ChainingRodShaped	14488	2.71508	0.5	6.58037	147.252	0	-0.0160882	0.999871	0	14489	None
ChainingRodShaped	15696	2.38354	0.5	-49.0437	-100.944	0	0.140171	-0.990127	0	15697	None
ChainingRodShaped	13040	3.24071	0.5	11.1204	80.5567	0	0.0634253	0.997987	0	None	None
ChainingRodShaped	15876	2.74357	0.5	30.8325	93.1531	0	-0.2535	0.967336	0	None	None
ChainingRodShaped	15062	3.10466	0.5	-8.51022	-33.763	0	-0.796889	-0.604126	0	None	None
ChainingRodShaped	13612	3.81714	0.5	112.923	-73.2107	0	0.944455	-0.328641	0	13613	None
ChainingRodShaped	13474	4.26136	0.5	-9.08747	-0.371996	0	-0.0601202	0.998191	0	None	None
ChainingRodShaped	15664	2.58578	0.5	-49.7362	-88.1082	0	0.0754498	-0.99715	0	15665	None
ChainingRodShaped	11752	3.94703	0.5	17.849	192.587	0	0.107912	0.99416	0	16134	None
ChainingRodShaped	17118	2.07795	0.5	-0.555478	180.875	0	0.317477	0.948266	0	17119	None
ChainingRodShaped	12330	4.78496	0.5	43.6154	72.9015	0	0.398991	0.916955	0	None	None
ChainingRodShaped	11186	3.64042	0.5	28.75	68.0238	0	0.119588	0.992824	0	None	None
ChainingRodShaped	15266	2.83756	0.5	-22.3257	125.807	0	0.762148	0.647403	0	15267	None
ChainingRodShaped	16796	2.11813	0.5	-65.6248	-6.77503	0	-0.770157	-0.637854	0	None	None
ChainingRodShaped	11404	4.56539	0.5	-29.91	37.119	0	0.275104	0.961414	0	None	None
ChainingRodShaped	15110	2.97553	0.5	-15.7495	100.741	0	0.0741389	-0.997248	0	None	None
ChainingRodShaped	13792	3.94697	0.5	149.199	-8.76771	0	0.967836	0.251581	0	13793	None
ChainingRodShaped	12224	3.4313	0.5	6.99944	167.933	0	0.211103	0.977464	0	12225	None
ChainingRodShaped	11816	3.81791	0.5	-1.41006	166.103	0	0.293174	0.956059	0	16132	None
ChainingRodShaped	12810	3.21482	0.5	4.93012	185.02	0	0.378448	0.925623	0	12811	None
ChainingRodShaped	12820	4.98753	0.5	-64.8634	33.6268	0	0.785737	-0.618561	0	None	None
ChainingRodShaped	9384	4.24959	0.5	2.92728	117.568	0	-0.335421	0.942068	0	9385	None
ChainingRodShaped	12356	4.11522	0.5	24.8889	-27.8599	0	-0.259066	-0.96586	0	None	None
ChainingRodShaped	15320	2.57926	0.5	-85.3702	25.4582	0	-0.145571	-0.989348	0	None	None
ChainingRodShaped	14654	2.88644	0.5	119.929	-14.4296	0	0.926814	0.375521	0	14655	None
ChainingRodShaped	13988	3.63647	0.5	-27.4482	116.186	0	0.691344	0.722526	0	None	None
ChainingRodShaped	14452	3.25359	0.5	-53.4145	49.7024	0	0.380416	0.924815	0	None	None
ChainingRodShaped	13470	3.11521	0.5	-25.7518	-29.9599	0	-0.877445	-0.479677	0	None	None
ChainingRodShaped	15924	2.69454	0.5	-5.67177	125.75	0	-0.269732	0.962936	0	None	None
ChainingRodShaped	16538	2.2536	0.5	-39.0589	-24.8716	0	-0.105634	-0.994405	0	None	None
ChainingRodShaped	9690	4.76946	0.5	-27.4286	-94.5226	0	0.463646	-0.886021	0	12664	None
ChainingRodShaped	13858	4.08576	0.5	5.38334	168.904	0	0.23701	0.971507	0	13859	None
ChainingRodShaped	13460	3.62621	0.5	-8.8247	22.2154	0	-0.356835	0.934167	0	None	None
ChainingRodShaped	8768	4.82682	0.5	-55.3245	-73.3105	0	0.0236451	-0.99972	0	15500	None
ChainingRodShaped	16068	2.40782	0.5	81.3983	-64.6797	0	0.999622	0.027481	0	16069	None
ChainingRodShaped	16712	2.22823	0.5	26.5375	243.661	0	0.250908	0.968011	0	16713	None
ChainingRodShaped	11340	4.49894	0.5	-46.3793	21.2289	0	-0.438299	-0.898829	0	None	None
ChainingRodShaped	12590	3.875	0.5	8.6564	-104.428	0	0.98241	-0.186739	0	12591	None
ChainingRodShaped	15314	3.07639	0.5	15.4532	20.1962	0	-0.349823	0.936816	0	None	None
ChainingRodShaped	11518	4.98774	0.5	-54.3211	-73.0913	0	0.0257846	-0.999668	0	15450	None
ChainingRodShaped	15772	2.63	0.5	52.809	-62.9215	0	0.945257	-0.326327	0	15773	None
ChainingRodShaped	10516	4.68855	0.5	21.6966	67.5131	0	-0.0853534	-0.996351	0	None	None
ChainingRodShaped	17180	2.03195	0.5	3.96494	-1.64769	0	0.163057	-0.986617	0	None	None
ChainingRodShaped	9808	4.20359	0.5	-58.5914	45.7545	0	-0.326304	-0.945265	0	None	None
ChainingRodShaped	15336	2.48539	0.5	-72.6451	20.7843	0	-0.776761	-0.629796	0	None	None
ChainingRodShaped	13010	3.34658	0.5	115.713	-17.2287	0	0.902864	0.429926	0	13011	None
ChainingRodShaped	9474	4.86345	0.5	67.0273	35.16	0	0.570171	-0.821526	0	None	None
ChainingRodShaped	16962	2.13248	0.5	132.714	-9.7679	0	0.97154	0.236876	0	16963	None
ChainingRodShaped	14494	2.56418	0.5	59.5386	35.386	0	0.182484	-0.983209	0	14495	17017
ChainingRodShaped	12600	3.95758	0.5	72.4105	38.6005	0	0.668362	-0.743837	0	None	None
ChainingRodShaped	12840	4.30193	0.5	45.1903	96.8149	0	0.649083	-0.760718	0	12841	13933
ChainingRodShaped	16402	2.28334	0.5	-67.6089	23.739	0	0.310404	0.950605	0	None	None
ChainingRodShaped	14130	3.51808	0.5	-59.5347	45.7289	0	-0.33156	-0.943434	0	None	None
ChainingRodShaped	13448	3.47128	0.5	-11.8107	56.6382	0	-0.00236779	-0.999997	0	None	None
ChainingRodShaped	16330	2.301	0.5	23.7911	77.8299	0	0.158045	-0.987432	0	None	None
ChainingRodShaped	13248	4.17129	0.5	34.8451	30.2103	0	0.542997	-0.839735	0	13249	9959
ChainingRodShaped	13000	3.33914	0.5	-69.0275	57.1218	0	-0.29575	-0.955265	0	13001	11937
ChainingRodShaped	10770	4.9474	0.5	12.9584	-27.5392	0	-0.400807	-0.916163	0	None	None
ChainingRodShaped	12546	3.99737	0.5	4.14334	22.0663	0	0.248252	-0.968695	0	12547	14327
ChainingRodShaped	15890	2.70477	0.5	-46.6548	34.5488	0	-0.697538	-0.716548	0	None	None
ChainingRodShaped	14696	3.32361	0.5	2.71215	35.854	0	-0.0600014	0.998198	0	14697	15269
ChainingRodShaped	15034	2.47603	0.5	42.4158	6.18213	0	0.129979	-0.991517	0	15035	9281
ChainingRodShaped	13930	2.69954	0.5	-78.7133	35.8067	0	-0.440696	-0.897656	0	13931	14071
ChainingRodShaped	16518	2.19986	0.5	-11.6166	52.2154	0	0.817907	0.57535	0	None	None
ChainingRodShaped	8990	4.97636	0.5	21.5825	9.5559	0	-0.312075	0.950058	0	14480	13129
ChainingRodShaped	14876	3.30607	0.5	6.50107	-0.663218	0	0.196691	-0.980465	0	14877	16801
ChainingRodShaped	12198	3.60717	0.5	-49.7543	-23.2696	0	0.794614	-0.607115	0	None	None
ChainingRodShaped	15116	2.89928	0.5	4.47586	90.4519	0	-0.156313	0.987708	0	None	None
ChainingRodShaped	11150	3.80312	0.5	-19.1878	-18.6818	0	-0.114128	-0.993466	0	None	None
ChainingRodShaped	15720	2.77918	0.5	-54.7644	-23.8589	0	0.48379	0.875184	0	None	None
ChainingRodShaped	12658	4.98991	0.5	-35.0865	105.833	0	0.491523	0.870865	0	None	None
ChainingRodShaped	11636	3.53555	0.5	56.1607	0.636857	0	-0.364193	-0.931324	0	11637	10931
ChainingRodShaped	12540	3.94607	0.5	-82.0852	35.5323	0	-0.437561	-0.899189	0	None	None
ChainingRodShaped	14516	3.2967	0.5	16.5602	23.893	0	-0.410353	0.911927	0	None	None
ChainingRodShaped	15648	2.73711	0.5	16.922	18.8699	0	-0.410732	0.911756	0	15649	12317
ChainingRodShaped	8874	4.71864	0.5	-64.2744	34.2726	0	0.786081	-0.618124	0	None	None
ChainingRodShaped	13364	3.31321	0.5	-26.5542	75.507	0	-0.0239056	0.999714	0	13365	16693
ChainingRodShaped	11734	4.79712	0.5	-10.4931	-11.5382	0	0.113553	0.993532	0	11735	15245
ChainingRodShaped	12056	3.48044	0.5	18.9535	-38.8033	0	0.534701	0.845042	0	12057	13539
ChainingRodShaped	8960	4.41457	0.5	39.9727	-38.546	0	0.218923	-0.975742	0	16722	14143
ChainingRodShaped	13380	3.08551	0.5	-18.6737	53.8611	0	-0.285019	-0.958522	0	None	None
ChainingRodShaped	13032	4.09419	0.5	-30.5701	37.536	0	0.284419	0.9587	0	None	None
ChainingRodShaped	14968	2.54259	0.5	-56.1385	37.9054	0	0.318053	0.948073	0	None	None
ChainingRodShaped	16376	2.34665	0.5	-77.7693	27.9602	0	0.27678	0.960933	0	16377	11667
ChainingRodShaped	13190	3.3121	0.5	41.2294	28.5004	0	-0.553104	0.833112	0	None	None
ChainingRodShaped	9122	4.8576	0.5	47.934	84.1309	0	-0.226771	0.973948	0	None	None
ChainingRodShaped	13488	4.19686	0.5	-57.4646	91.3869	0	0.458578	0.888654	0	13489	14537
ChainingRodShaped	9612	4.88535	0.5	59.4012	43.2754	0	-0.0893935	0.995996	0	14194	9913
ChainingRodShaped	17260	2.02417	0.5	-52.3756	-30.9061	0	0.118144	-0.992997	0	17261	12065
ChainingRodShaped	17270	2.02894	0.5	-7.76992	-14.4773	0	0.369887	0.929077	0	None	None
ChainingRodShaped	9850	4.45934	0.5	35.8818	13.0305	0	0.340865	-0.940112	0	13438	14835
ChainingRodShaped	13074	4.52535	0.5	3.76645	-6.99813	0	0.0690715	-0.997612	0	None	None
ChainingRodShaped	13936	3.63517	0.5	23.6578	109.203	0	-0.787151	0.61676	0	None	None
ChainingRodShaped	14556	3.70783	0.5	6.11233	35.937	0	-0.0999117	0.994996	0	None	None
ChainingRodShaped	14062	2.93353	0.5	-67.3655	13.2643	0	-0.297457	-0.954735	0	14063	12855
ChainingRodShaped	16010	2.40354	0.5	42.0402	-19.2434	0	0.372589	0.927997	0	16011	11425
ChainingRodShaped	11600	3.58731	0.5	13.581	23.6331	0	0.293347	-0.956006	0	11601	12867
ChainingRodShaped	16388	2.46662	0.5	28.2113	-14.6575	0	-0.239078	-0.971	0	16389	13649
ChainingRodShaped	15968	2.48376	0.5	45.8871	28.2622	0	0.57847	-0.815704	0	15969	13923
ChainingRodShaped	14032	3.45281	0.5	-17.9826	10.745	0	-0.251028	0.96798	0	None	None
ChainingRodShaped	12634	4.81709	0.5	20.9493	68.6325	0	0.0753798	0.997155	0	None	None
ChainingRodShaped	11390	3.79528	0.5	-7.797	30.3739	0	-0.14645	0.989218	0	11391	15101
ChainingRodShaped	12422	4.29789	0.5	52.6491	39.0789	0	0.239113	-0.970992	0	None	None
ChainingRodShaped	16206	2.42376	0.5	31.7136	33.5306	0	0.530557	-0.847649	0	16207	13273
ChainingRodShaped	9256	4.72972	0.5	6.29201	8.7555	0	0.293304	-0.956019	0	None	None
ChainingRodShaped	15194	2.68699	0.5	26.2294	-30.4002	0	-0.54693	-0.837178	0	None	None
ChainingRodShaped	8330	4.83705	0.5	37.04	30.1014	0	0.539758	-0.84182	0	12984	14439
ChainingRodShaped	15494	2.48929	0.5	-24.0276	25.7935	0	0.445562	-0.895251	0	None	None
ChainingRodShaped	11102	4.37998	0.5	4.94191	-21.6028	0	-0.4912	-0.871047	0	11103	16535
ChainingRodShaped	15186	2.96358	0.5	29.3382	5.09037	0	0.20158	-0.979472	0	None	None
ChainingRodShaped	12770	3.52944	0.5	0.71261	-4.14575	0	-0.171319	0.985216	0	12771	13251
ChainingRodShaped	16954	2.07961	0.5	53.4461	18.2203	0	0.346828	-0.937929	0	None	None
ChainingRodShaped	11726	4.24763	0.5	11.8013	-8.4545	0	0.0976902	0.995217	0	11727	14181
ChainingRodShaped	16938	2.07972	0.5	-62.7808	28.3969	0	-0.317413	-0.948287	0	None	None
ChainingRodShaped	12042	4.84477	0.5	19.5917	-3.37367	0	0.0397823	-0.999208	0	None	None
ChainingRodShaped	14902	2.88032	0.5	-76.0756	63.6535	0	-0.725655	-0.688059	0	None	None
ChainingRodShaped	14990	3.32769	0.5	16.1706	87.8792	0	-0.311984	0.950087	0	None	None
ChainingRodShaped	10602	4.56453	0.5	-52.1186	38.7673	0	-0.833258	0.552885	0	None	None
ChainingRodShaped	15660	2.40943	0.5	-8.18562	23.3409	0	0.232071	-0.972699	0	None	None
ChainingRodShaped	16022	2.42898	0.5	-51.9299	53.198	0	-0.384288	-0.923213	0	None	None
ChainingRodShaped	15810	2.40446	0.5	63.6252	17.6565	0	-0.0806318	-0.996744	0	None	None
ChainingRodShaped	13342	4.47926	0.5	-5.67631	-14.9832	0	-0.427472	0.904029	0	None	None
ChainingRodShaped	13800	2.91342	0.5	21.9012	43.7933	0	0.253529	-0.967328	0	None	None
ChainingRodShaped	17244	2.03324	0.5	6.81483	61.6884	0	0.238502	0.971142	0	17245	16445
ChainingRodShaped	13428	3.43731	0.5	-1.9669	81.3492	0	0.114371	-0.993438	0	None	None
