cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	5117	4.51676	0.5	-41.3321	45.0665	0	0.0650029	0.997885	0	None	None
ChainingRodShaped	6147	3.90347	0.5	-36.278	31.0998	0	0.0275745	0.99962	0	None	None
ChainingRodShaped	7269	2.1627	0.5	24.965	40.9459	0	-0.120466	0.992717	0	7270	None
ChainingRodShaped	5387	3.41167	0.5	-9.74913	35.5233	0	0.387649	0.921807	0	5388	None
ChainingRodShaped	5843	4.8056	0.5	-3.0545	-1.20491	0	-0.655204	-0.755452	0	None	None
ChainingRodShaped	6833	3.2765	0.5	52.4329	60.1656	0	0.819825	-0.572613	0	None	None
ChainingRodShaped	3997	4.44699	0.5	-25.7686	11.5856	0	-0.52008	-0.854118	0	7119	None
ChainingRodShaped	7083	3.0041	0.5	-2.53854	31.5393	0	-0.762236	0.647299	0	None	None
ChainingRodShaped	7177	2.22155	0.5	22.6544	38.5315	0	0.49628	-0.868162	0	7178	None
ChainingRodShaped	6885	2.27672	0.5	27.8986	60.8091	0	-0.91945	-0.393207	0	6886	None
ChainingRodShaped	5433	4.67808	0.5	-31.4977	37.7119	0	-0.448698	0.893684	0	None	None
ChainingRodShaped	5345	2.94	0.5	53.4106	53.1068	0	0.338845	0.940842	0	5346	None
ChainingRodShaped	7709	2.00763	0.5	-25.6153	33.1244	0	-0.138722	-0.990331	0	7710	None
ChainingRodShaped	7201	2.34982	0.5	-34.7359	75.0989	0	-0.154649	-0.987969	0	None	None
ChainingRodShaped	7339	2.28288	0.5	42.475	6.37132	0	-0.348516	0.937303	0	None	None
ChainingRodShaped	4401	3.55185	0.5	-40.4942	62.627	0	0.647529	0.762041	0	4402	None
ChainingRodShaped	7243	2.11462	0.5	-7.65834	37.0271	0	-0.756951	0.653472	0	7244	None
ChainingRodShaped	6511	4.42094	0.5	46.5304	48.2662	0	0.331557	0.943435	0	None	None
ChainingRodShaped	7713	2.03036	0.5	-22.5008	35.6658	0	-0.128731	-0.99168	0	None	None
ChainingRodShaped	7313	2.42996	0.5	-58.7913	49.0688	0	0.159886	0.987135	0	None	None
ChainingRodShaped	4041	3.64866	0.5	22.5393	40.5744	0	0.499962	-0.866047	0	4042	None
ChainingRodShaped	5537	3.98434	0.5	10.9408	1.05904	0	-0.947453	-0.319895	0	None	None
ChainingRodShaped	4347	3.61356	0.5	19.5247	75.2699	0	0.53139	0.847127	0	7015	None
ChainingRodShaped	5105	4.78939	0.5	49.5901	55.5414	0	-0.220989	0.975276	0	None	None
ChainingRodShaped	6735	2.28812	0.5	-56.625	23.3277	0	0.219282	-0.975661	0	6736	None
ChainingRodShaped	7135	2.65278	0.5	-33.3124	-4.68651	0	-0.999349	-0.0360833	0	None	None
ChainingRodShaped	4639	3.53991	0.5	27.5885	7.0486	0	0.552845	-0.833284	0	4640	None
ChainingRodShaped	5225	4.98383	0.5	22.4155	53.2144	0	-0.93725	0.348658	0	None	None
ChainingRodShaped	5059	2.89397	0.5	-21.3246	41.8522	0	-0.451321	-0.892362	0	5060	None
ChainingRodShaped	4913	3.84192	0.5	23.2476	42.853	0	0.448468	-0.893799	0	4914	None
ChainingRodShaped	6807	3.55417	0.5	3.40607	-9.81955	0	0.981163	-0.193183	0	None	None
ChainingRodShaped	4675	4.77098	0.5	-28.8061	27.8837	0	0.422221	-0.906493	0	4676	None
ChainingRodShaped	6253	2.32469	0.5	38.1083	48.48	0	0.934105	-0.356997	0	6254	None
ChainingRodShaped	7253	2.49868	0.5	-11.0836	-12.9064	0	-0.998806	0.0488457	0	None	None
ChainingRodShaped	6463	2.90002	0.5	-17.4075	62.083	0	0.369468	0.929243	0	None	None
ChainingRodShaped	6355	3.57355	0.5	-1.79695	45.2072	0	-0.223129	-0.974789	0	None	None
ChainingRodShaped	6789	2.21122	0.5	27.8069	66.4477	0	0.727487	0.686121	0	6790	None
ChainingRodShaped	5845	4.46128	0.5	11.2329	77.606	0	0.00366985	0.999993	0	None	None
ChainingRodShaped	4319	4.83529	0.5	-0.0570997	-5.76583	0	-0.938724	-0.344669	0	7121	None
ChainingRodShaped	4323	4.722	0.5	-39.6878	5.77935	0	-0.399914	-0.916553	0	6777	None
ChainingRodShaped	3991	4.25025	0.5	2.49953	58.4794	0	-0.365311	-0.930886	0	6125	None
ChainingRodShaped	6503	4.42247	0.5	17.9649	49.8858	0	0.496551	-0.868008	0	None	None
