cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	5775	3.63349	0.5	60.2681	-14.2301	0	-0.888904	0.458094	0	34357	None
ChainingRodShaped	36383	3.45647	0.5	-21.2767	159.492	0	0.982645	-0.185495	0	None	None
ChainingRodShaped	39291	2.21003	0.5	75.9045	8.74893	0	0.691591	0.722289	0	39292	None
ChainingRodShaped	41889	3.58561	0.5	-13.9243	170.153	0	-0.683562	0.729893	0	None	None
ChainingRodShaped	30529	2.34036	0.5	36.5748	19.8218	0	-0.732198	0.681092	0	30530	None
ChainingRodShaped	44055	2.93276	0.5	-31.1251	79.7719	0	0.608386	-0.793641	0	None	None
ChainingRodShaped	25299	2.19807	0.5	60.1667	-11.723	0	-0.97946	0.201637	0	25300	None
ChainingRodShaped	5761	3.79217	0.5	-118.189	25.6091	0	0.91674	0.399485	0	5762	None
ChainingRodShaped	16381	2.4318	0.5	-45.2567	-6.12904	0	0.74822	-0.66345	0	16382	None
ChainingRodShaped	31585	3.56771	0.5	50.6363	6.86718	0	0.386915	-0.922115	0	None	None
ChainingRodShaped	38087	4.11426	0.5	77.4594	-51.0687	0	-0.714134	-0.700009	0	None	None
ChainingRodShaped	5753	4.52244	0.5	-100.992	49.5688	0	-0.122222	-0.992503	0	5754	None
ChainingRodShaped	14155	2.75466	0.5	7.98186	-15.1106	0	0.262059	0.965052	0	14156	None
ChainingRodShaped	37397	4.28385	0.5	130.531	0.0171843	0	0.218911	0.975745	0	None	None
ChainingRodShaped	39973	3.9517	0.5	74.9671	143.005	0	-0.976339	0.216244	0	None	None
ChainingRodShaped	45117	2.66661	0.5	-117.367	-38.8691	0	-0.9452	-0.326493	0	None	None
ChainingRodShaped	39139	3.64543	0.5	-23.5597	-57.9294	0	0.0670633	0.997749	0	None	None
ChainingRodShaped	14019	2.76306	0.5	40.4437	37.7076	0	-0.368239	-0.929731	0	14020	None
