cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	33717	4.71182	0.5	-31.3716	-97.835	0	-0.985638	0.16887	0	None	None
ChainingRodShaped	24823	4.91605	0.5	77.733	-44.8344	0	-0.275217	-0.961382	0	None	None
ChainingRodShaped	23621	4.28987	0.5	-61.8568	-75.2051	0	-0.858428	0.512934	0	None	None
ChainingRodShaped	35005	3.21235	0.5	-33.9325	-80.9846	0	-0.221878	-0.975075	0	None	None
ChainingRodShaped	29469	2.70303	0.5	111.93	0.804489	0	0.0734667	-0.997298	0	29470	None
ChainingRodShaped	15147	3.68654	0.5	82.116	80.0682	0	-0.113168	0.993576	0	41357	None
ChainingRodShaped	23571	3.00956	0.5	12.0185	-8.06034	0	-0.383256	0.923642	0	23572	None
ChainingRodShaped	31053	3.18829	0.5	110.836	3.96245	0	0.095386	-0.99544	0	31054	None
ChainingRodShaped	18133	4.76174	0.5	2.77569	70.9101	0	-0.528084	0.849192	0	18134	None
ChainingRodShaped	38417	3.10466	0.5	50.0976	-100.368	0	-0.870703	-0.49181	0	None	None
ChainingRodShaped	42215	2.34385	0.5	109.996	3.83205	0	0.086998	-0.996208	0	42216	None
ChainingRodShaped	10463	4.24781	0.5	45.7927	71.9962	0	-0.101608	-0.994824	0	32917	None
ChainingRodShaped	43257	2.52741	0.5	42.9167	57.851	0	0.596357	-0.80272	0	None	None
ChainingRodShaped	29839	3.71283	0.5	39.285	-13.6802	0	-0.339454	0.940623	0	None	None
ChainingRodShaped	26407	3.98796	0.5	36.7333	-88.8637	0	0.997078	-0.0763876	0	None	None
ChainingRodShaped	41765	2.95895	0.5	21.0542	-34.661	0	0.30269	-0.953089	0	None	None
ChainingRodShaped	26697	4.54041	0.5	-132.536	-23.8856	0	-0.237545	-0.971377	0	None	None
ChainingRodShaped	18513	3.67908	0.5	14.1841	-11.8064	0	-0.357963	0.933736	0	45279	None
ChainingRodShaped	31255	2.98732	0.5	81.4552	-35.7313	0	0.204169	-0.978936	0	31256	None
