cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	2863	4.51351	0.5	180.437	-55.5441	0	0.786879	-0.617108	0	2864	None
ChainingRodShaped	2965	4.44441	0.5	50.1469	14.7602	0	-0.221682	-0.975119	0	None	None
ChainingRodShaped	2993	4.28611	0.5	44.9542	3.17506	0	0.712958	0.701207	0	None	None
ChainingRodShaped	3821	3.786	0.5	-14.7793	127.868	0	0.752593	0.658486	0	3822	4984
ChainingRodShaped	2713	4.23799	0.5	51.4697	47.4468	0	0.0921677	0.995743	0	None	None
ChainingRodShaped	5113	2.75065	0.5	36.5817	-6.93301	0	-0.831833	-0.555026	0	5114	1988
ChainingRodShaped	5169	2.61967	0.5	29.7544	-8.71497	0	0.92715	-0.37469	0	None	None
ChainingRodShaped	5499	2.35788	0.5	52.8493	36.7686	0	0.932431	-0.361348	0	None	None
ChainingRodShaped	5767	2.19082	0.5	-12.8292	93.0274	0	0.145243	0.989396	0	None	None
ChainingRodShaped	3311	4.23002	0.5	19.72	1.68703	0	0.555279	-0.831664	0	None	None
ChainingRodShaped	2569	4.09862	0.5	-81.391	7.53824	0	0.96767	0.252218	0	5635	4894
ChainingRodShaped	1855	4.46134	0.5	71.0208	80.8239	0	-0.328719	-0.944428	0	3833	4362
ChainingRodShaped	4175	4.5611	0.5	8.8967	89.9599	0	0.415964	0.909381	0	None	None
ChainingRodShaped	2753	4.43547	0.5	21.1682	74.9209	0	0.678518	-0.734583	0	None	None
ChainingRodShaped	3373	4.83479	0.5	-37.5964	91.7218	0	-0.779773	-0.626062	0	None	None
ChainingRodShaped	4797	2.74673	0.5	39.6141	32.1245	0	-0.889393	0.457143	0	None	None
ChainingRodShaped	3379	4.28241	0.5	59.102	-39.9254	0	0.673342	0.739331	0	3380	4786
ChainingRodShaped	5213	3.22119	0.5	-5.55494	-11.5179	0	0.875877	0.482535	0	None	None
ChainingRodShaped	4895	2.63648	0.5	-7.90235	12.5224	0	-0.536734	-0.843751	0	None	None
ChainingRodShaped	5809	2.19719	0.5	12.6845	1.54271	0	0.0262227	-0.999656	0	None	None
ChainingRodShaped	2195	3.85704	0.5	-100.231	88.6898	0	0.247678	-0.968842	0	5103	5322
ChainingRodShaped	5147	2.95915	0.5	54.079	49.3431	0	-0.968845	0.247668	0	None	None
ChainingRodShaped	5237	2.53389	0.5	47.1608	65.5764	0	0.678869	0.734259	0	None	None
ChainingRodShaped	5383	2.53167	0.5	26.0689	85.7271	0	0.951858	0.306539	0	None	None
ChainingRodShaped	1529	4.71795	0.5	58.7683	132.373	0	0.809995	-0.586437	0	3145	2390
ChainingRodShaped	6071	2.15399	0.5	36.5444	78.7101	0	0.810589	0.585615	0	None	None
ChainingRodShaped	5415	2.54087	0.5	56.1047	21.9725	0	-0.208074	-0.978113	0	5416	5480
ChainingRodShaped	3725	4.26984	0.5	25.7488	-9.41827	0	0.970455	-0.241282	0	None	None
ChainingRodShaped	3675	3.4542	0.5	15.0455	-2.13564	0	0.99136	0.131166	0	None	None
ChainingRodShaped	3625	4.30096	0.5	52.8043	35.7336	0	0.928771	-0.370655	0	None	None
ChainingRodShaped	5057	2.73727	0.5	-62.3601	56.3619	0	0.243813	0.969822	0	5058	926
