cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	47019	2.26791	0.5	-95.6382	91.4095	0	0.984505	0.175357	0	None	None
ChainingRodShaped	31263	4.51158	0.5	-81.4573	44.0708	0	-0.152883	0.988244	0	None	None
ChainingRodShaped	36063	2.26819	0.5	83.1657	55.4109	0	0.682585	0.730806	0	36064	None
ChainingRodShaped	14299	3.26297	0.5	-40.4008	43.7593	0	-0.555101	0.831783	0	14300	None
ChainingRodShaped	49449	2.10372	0.5	-17.0875	-77.1804	0	-0.256323	-0.966591	0	None	None
ChainingRodShaped	24305	3.93717	0.5	108.662	100.174	0	-0.755584	-0.655052	0	None	None
ChainingRodShaped	10449	4.34346	0.5	-47.3936	-30.4628	0	-0.547262	-0.836961	0	10450	None
ChainingRodShaped	48025	2.16334	0.5	-35.0753	43.9025	0	-0.66616	0.745809	0	None	None
ChainingRodShaped	29793	3.18322	0.5	55.0347	71.0635	0	0.86912	-0.494602	0	29794	None
ChainingRodShaped	44179	2.23541	0.5	43.3137	104.036	0	-0.997632	-0.0687833	0	44180	None
ChainingRodShaped	23423	3.9785	0.5	-75.5407	58.8302	0	0.532019	0.846732	0	None	None
ChainingRodShaped	32121	2.36321	0.5	114.936	43.9842	0	0.806125	0.591746	0	32122	None
ChainingRodShaped	41039	2.25622	0.5	-59.5552	6.50371	0	0.321378	-0.946951	0	41040	None
ChainingRodShaped	37541	3.75704	0.5	-84.4098	137.522	0	0.612536	-0.790443	0	None	None
ChainingRodShaped	39773	2.60199	0.5	105.608	-36.0089	0	-0.753873	0.65702	0	None	None
ChainingRodShaped	23253	3.22666	0.5	-110.547	101.804	0	0.215188	0.976573	0	23254	None
ChainingRodShaped	7243	4.33024	0.5	-27.5452	37.8724	0	-0.756717	0.653742	0	20497	None
ChainingRodShaped	46127	2.21156	0.5	114.259	87.0738	0	0.00883041	0.999961	0	None	None
ChainingRodShaped	34841	4.11838	0.5	-46.224	19.8916	0	0.586039	-0.810283	0	None	None
ChainingRodShaped	21977	4.88556	0.5	-124.052	52.0737	0	0.751006	0.660295	0	None	None
ChainingRodShaped	28981	2.44479	0.5	55.611	71.4439	0	0.874035	-0.485863	0	28982	None
ChainingRodShaped	32899	4.75377	0.5	32.9797	-79.7191	0	-0.815061	0.579375	0	None	None
ChainingRodShaped	22199	3.75672	0.5	52.5303	123.367	0	0.938775	0.34453	0	22200	None
ChainingRodShaped	24841	4.13296	0.5	94.4075	105.347	0	-0.96959	0.244736	0	None	None
ChainingRodShaped	6735	4.77138	0.5	-143.756	2.05798	0	0.162111	-0.986772	0	16753	None
ChainingRodShaped	36093	4.27774	0.5	-103.057	-72.3468	0	-0.776942	0.629572	0	None	None
ChainingRodShaped	19315	3.33165	0.5	49.4228	-28.568	0	0.792443	-0.609946	0	19316	None
ChainingRodShaped	41541	3.02031	0.5	14.5845	97.0839	0	-0.861352	0.508008	0	None	None
ChainingRodShaped	5059	4.95657	0.5	-46.0623	63.8976	0	-0.965885	-0.258971	0	20109	None
ChainingRodShaped	12079	4.47512	0.5	72.0673	61.263	0	0.788996	-0.614399	0	45267	None
ChainingRodShaped	29511	3.62714	0.5	19.6618	-105.646	0	-0.45953	0.888162	0	None	None
ChainingRodShaped	8215	4.45549	0.5	-69.1266	6.31612	0	0.205895	-0.978574	0	39169	None
ChainingRodShaped	6253	4.0857	0.5	73.3003	83.8768	0	0.969405	-0.245468	0	6254	None
ChainingRodShaped	37889	2.97511	0.5	-32.8627	-102.149	0	-0.72903	0.684481	0	None	None
ChainingRodShaped	34043	3.27236	0.5	-15.8736	117.414	0	0.786388	0.617733	0	None	None
ChainingRodShaped	38111	2.83268	0.5	31.9709	47.9677	0	0.9914	0.13087	0	None	None
ChainingRodShaped	6789	4.16018	0.5	44.1813	108.482	0	0.999945	0.0104549	0	36387	None
ChainingRodShaped	43501	2.86073	0.5	49.5677	162.747	0	-0.607799	0.794091	0	None	None
ChainingRodShaped	8181	4.07756	0.5	3.83968	-79.6147	0	-0.989026	-0.147743	0	8182	None
