cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	5164	3.30933	0.5	-18.2914	30.6519	0	-0.487916	-0.872891	0	None	None
ChainingRodShaped	4926	3.77384	0.5	21.964	45.3321	0	-0.102919	0.99469	0	None	None
ChainingRodShaped	4628	3.66609	0.5	-15.8777	41.4348	0	0.990147	0.140031	0	4629	None
ChainingRodShaped	5038	3.10457	0.5	-3.11817	36.3666	0	-0.958773	-0.284173	0	None	None
ChainingRodShaped	4666	4.97516	0.5	-10.1134	46.7848	0	0.502875	0.864359	0	5230	None
ChainingRodShaped	5130	2.6464	0.5	35.4152	42.5792	0	0.88321	-0.468978	0	5131	None
ChainingRodShaped	5076	3.21606	0.5	37.6493	42.9227	0	-0.0799777	-0.996797	0	None	None
ChainingRodShaped	5174	2.99763	0.5	8.59269	29.2928	0	-0.914744	-0.404033	0	None	None
ChainingRodShaped	4812	4.83093	0.5	1.23343	12.4961	0	-0.877627	0.479344	0	None	None
ChainingRodShaped	5040	3.40727	0.5	28.3317	21.673	0	0.303179	-0.952934	0	None	None
ChainingRodShaped	4712	3.60701	0.5	22.2735	51.393	0	-0.467564	0.883959	0	4713	None
ChainingRodShaped	4670	4.10815	0.5	-28.2874	58.3642	0	0.261432	0.965222	0	5114	None
ChainingRodShaped	5190	2.41714	0.5	-19.0124	37.0299	0	0.66332	-0.748335	0	None	None
ChainingRodShaped	5154	2.29173	0.5	20.0431	29.3469	0	-0.0694471	-0.997586	0	5155	None
ChainingRodShaped	5102	3.16216	0.5	-9.20106	21.5367	0	0.115617	-0.993294	0	None	None
ChainingRodShaped	5256	2.39534	0.5	-8.01498	37.9377	0	-0.919154	-0.393899	0	None	None
ChainingRodShaped	4634	4.90226	0.5	9.5172	55.3363	0	0.170152	0.985418	0	None	None
ChainingRodShaped	4758	4.97133	0.5	-35.4122	43.6178	0	-0.0892659	0.996008	0	4759	None
ChainingRodShaped	4626	3.56721	0.5	-33.3928	56.1417	0	0.0446338	0.999003	0	4627	None
ChainingRodShaped	4762	3.76855	0.5	-13.8272	44.5186	0	0.0120643	-0.999927	0	4763	None
ChainingRodShaped	5054	3.94424	0.5	32.129	46.4565	0	0.85449	-0.519468	0	None	None
ChainingRodShaped	4880	3.85937	0.5	-13.9691	19.1632	0	-0.966919	0.255082	0	4881	None
ChainingRodShaped	5286	2.39845	0.5	-4.126	42.3691	0	-0.063333	-0.997992	0	None	None
ChainingRodShaped	5292	2.1502	0.5	4.62717	39.5296	0	-0.980146	-0.198277	0	None	None
ChainingRodShaped	4476	4.76316	0.5	-20.4928	25.0002	0	0.418428	-0.90825	0	4768	None
ChainingRodShaped	4850	4.95923	0.5	-21.4193	20.8942	0	0.614783	-0.788696	0	None	None
ChainingRodShaped	4658	4.50078	0.5	34.1311	32.1861	0	-0.84915	-0.528152	0	4659	None
ChainingRodShaped	4924	3.71255	0.5	30.082	22.2307	0	-0.160425	-0.987048	0	None	None
ChainingRodShaped	5050	3.05217	0.5	6.00062	38.8099	0	0.978077	0.208244	0	None	None
ChainingRodShaped	4934	3.79475	0.5	-16.0812	13.2052	0	0.113905	-0.993492	0	4935	None
ChainingRodShaped	4776	4.21126	0.5	-5.84012	22.5457	0	-0.637879	-0.770137	0	4777	None
ChainingRodShaped	4462	4.53677	0.5	-31.8401	26.2912	0	-0.00556466	-0.999985	0	4790	None
ChainingRodShaped	5014	3.36925	0.5	-8.17448	21.2612	0	0.116548	-0.993185	0	5015	None
ChainingRodShaped	4710	4.45807	0.5	9.7876	37.9552	0	0.693396	0.720557	0	4711	None
ChainingRodShaped	4806	4.14202	0.5	13.7477	27.7022	0	0.915767	-0.40171	0	None	None
ChainingRodShaped	5072	2.38826	0.5	32.4216	25.8086	0	0.199152	-0.979969	0	5073	None
ChainingRodShaped	5138	2.78208	0.5	4.0295	55.9982	0	0.481624	0.876378	0	None	None
ChainingRodShaped	5008	4.65781	0.5	-29.8867	45.7682	0	-0.0615273	0.998105	0	None	None
ChainingRodShaped	4912	4.74297	0.5	12.3173	45.659	0	0.483575	-0.875303	0	None	None
ChainingRodShaped	5104	2.37157	0.5	-18.4908	42.7775	0	0.874615	-0.484817	0	5105	None
ChainingRodShaped	5046	4.21006	0.5	-1.29356	14.7712	0	-0.974119	0.226037	0	None	None
ChainingRodShaped	5022	2.98666	0.5	11.8805	27.0246	0	-0.665169	0.746693	0	None	None
ChainingRodShaped	5094	2.58723	0.5	-37.4095	45.0648	0	0.61077	0.791808	0	5095	None
ChainingRodShaped	4698	3.76716	0.5	-36.668	47.0787	0	1	0.000598825	0	4699	None
ChainingRodShaped	5202	2.46542	0.5	-12.4899	45.1866	0	-0.29226	-0.956339	0	5203	None
ChainingRodShaped	4988	3.45765	0.5	-37.2544	48.0731	0	1	0.000760991	0	None	None
ChainingRodShaped	5270	2.40039	0.5	-17.6447	44.0585	0	0.821796	-0.569782	0	None	None
