cell_type	cell_id	length	radius	pos_x	pos_y	pos_z	ori_x	ori_y	ori_z	lower_link	upper_link
ChainingRodShaped	35932	3.07889	0.5	-95.1194	-60.6217	0	0.0785763	-0.996908	0	None	None
ChainingRodShaped	32228	4.98922	0.5	76.2387	141.142	0	0.994278	0.106821	0	None	None
ChainingRodShaped	13878	4.93878	0.5	-23.8584	64.8839	0	0.997279	0.07372	0	40000	None
ChainingRodShaped	33432	4.75419	0.5	-67.7916	-44.9396	0	-0.179567	-0.983746	0	None	None
ChainingRodShaped	28676	4.0367	0.5	-55.6267	139.579	0	0.425511	0.904953	0	28677	None
ChainingRodShaped	22134	4.96529	0.5	122.254	-5.80648	0	0.00751773	-0.999972	0	22135	None
ChainingRodShaped	35422	3.50567	0.5	131.138	-25.7204	0	0.227134	-0.973864	0	None	None
ChainingRodShaped	20786	4.52034	0.5	-30.0987	-53.5473	0	0.492508	0.870308	0	None	None
ChainingRodShaped	45818	2.32629	0.5	-52.6673	-98.6854	0	-0.9618	0.273754	0	None	None
ChainingRodShaped	40194	2.99303	0.5	97.5232	-64.066	0	-0.982338	0.187114	0	None	None
ChainingRodShaped	14702	3.86383	0.5	46.9076	136.471	0	-0.741001	0.671504	0	48512	None
ChainingRodShaped	15778	4.67603	0.5	-82.2795	139.341	0	0.56548	0.824762	0	38144	None
ChainingRodShaped	36108	4.22383	0.5	-79.0852	10.31	0	0.0139044	-0.999903	0	None	None
ChainingRodShaped	43974	2.32235	0.5	59.4983	-21.6464	0	-0.698651	-0.715463	0	43975	None
ChainingRodShaped	35404	4.79343	0.5	-79.2652	-77.3648	0	-0.81579	-0.578349	0	None	None
ChainingRodShaped	26836	3.71824	0.5	-51.7962	-9.35855	0	-0.397235	-0.917717	0	None	None
ChainingRodShaped	31330	4.04777	0.5	33.2088	185.832	0	0.970494	0.241123	0	None	None
ChainingRodShaped	45054	2.19948	0.5	-99.5533	112.884	0	0.371991	0.928236	0	45055	None
